hanzi	pinyin	keyword	radical	strokeCount	hskLevel	generalStandard	frequencyRank
的	de	possessive, adjectival suffix	白 106.3	8	1	1155	1
一	yī	one; a, an; alone	一 1.0	1	1	1	2
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	日 72.5	9	1	1479	3
不	bù	no, not; un-; negative prefix	一 1.3	4	1	91	4
了	le	to finish; particle of completed action	亅 6.1	2	1	17	5
在	zài	be at, in, on; consist in, rest	土 32.3	6	1	388	6
人	rén	man; people; mankind; someone else	人 9.0	2	1	10	7
有	yǒu	have, own, possess; exist	月 74.2	6	1	390	8
我	wǒ	our, us, i, me, my, we	戈 62.3	7	1	761	9
他	tā	other, another; he, she, it	人 9.3	5	1	277	10
这	zhè	this, the, here	辵 162.4	7	1	837	11
个	gè	numerary adjunct, piece; single	丨 2.2	3	1	45	12
们	men	adjunct pronoun indicate plural	人 9.3	5	1	273	13
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨 2.3	4	1	113	14
来	lái	come, coming; return, returning	木 75.3	7	1	707	15
上	shàng	top; superior, highest; go up, send up	一 1.2	3	1	36	16
大	dà	big, great, vast, large, high	大 37.0	3	1	32	17
为	wèi	do, handle, govern, act; be	丶 3.3	4	2	165	18
和	hé	harmony, peace; peaceful, calm	口 30.5	8	1	1131	19
国	guó	nation, country, nation-state	囗 31.5	8	1	1081	20
地	de	earth; soil, ground; region	土 32.3	6	3	366	21
到	dào	go to, arrive, been to	刀 18.6	8	2	1063	22
以	yǐ	by means of; thereby, therefore; consider as; in order to	人 9.3	4	2	182	23
说	shuō	speak, say, talk; scold, upbraid	言 149.7	9	1	1717	24
时	shí	time, season; era, age, period	日 72.3	7	1	717	25
要	yào	necessary, essential; necessity	襾 146.3	9	2	1441	26
就	jiù	just, simply; to come, go to; to approach, near	尢 43.9	12	2	2728	27
出	chū	go out, send out; stand; produce	凵 17.3	5	1	330	28
会	huì	assemble, meet together; meeting	人 9.4	6	1	486	29
可	kě	may, can, -able; possibly	口 30.2	5	2	212	30
也	yě	also; classical final particle of strong affirmation or identity	乙 5.2	3	2	66	31
你	nǐ	you, second person pronoun	人 9.5	7	1	782	32
对	duì	correct, right; facing, opposed	寸 41.2	5	1	341	33
生	shēng	life, living, lifetime; birth	生 100.0	5	1	263	34
能	néng	to be able; can, permitted to; ability	肉 130.6	10	1	2146	35
而	ér	and; and then; and yet; but	而 126.0	6	3	392	36
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子 39.0	3	1	64	37
那	nà	that, that one, those	邑 163.4	6	1	564	38
得	dé	obtain, get, gain, acquire	彳 60.8	11	2	2341	39
于	yú	in, on, at; go to; surname	二 7.1	3	3	24	40
着	zhe	make move, take action	目 109.6	11	2	2398	41
下	xià	under, underneath, below; down; inferior; bring down	一 1.2	3	1	30	42
自	zì	self, private, personal; from	自 132.0	6	3	477	43
之	zhī	marks preceding phrase as modifier of following phrase; it, him her, them; go to	丿 4.3	3	4	58	44
年	nián		干 51.3	6	1	444	45
过	guò	pass, pass through, go across	辵 162.3	6	2	379	46
发	fā	issue, dispatch, send out; hair	又 29.3	5	3	339	47
后	hòu	queen, empress, sovereign; (simp. for 後) behind, rear, after	口 30.3	6	1	482	48
作	zuò	make; work; compose, write; act, perform	人 9.5	7	1	777	49
里	lǐ	unit of distance; village; lane	里 166.0	7	1	721	50
用	yòng	use, employ, apply, operate; use	用 101.0	5	3	283	51
道	dào	path, road, street; method, way	辵 162.9	12	2	2745	52
行	xíng	go; walk; move, travel; circulate	行 144.0	6	3	483	53
所	suǒ	place, location; numerary adjunct	戶 63.4	8	2	1164	54
然	rán	yes, certainly; pledge, promise	火 86.8	12	2	2723	55
家	jiā	house, home, residence; family	宀 40.7	10	1	2099	56
种	zhǒng	seed; race, breed; to plant	禾 115.4	9	3	1549	57
事	shì	affair, matter, business; to serve; accident, incident	亅 6.7	8	2	1038	58
成	chéng	completed, finished, fixed	戈 62.3	6	3	401	59
方	fāng	a square, rectangle; a region; local	方 70.0	4	3	163	60
多	duō	much, many; more than, over	夕 36.3	6	1	507	61
经	jīng	classic works; pass through	糸 120.5	8	2	1350	62
么	me	interrogative particle; repetition of a tune small; tender	丿 4.2	3	1	48	63
去	qù	go away, leave, depart	厶 28.3	5	1	204	64
法	fǎ	law, rule, regulation, statute; France, French	水 85.5	8	3	1241	65
学	xué	learning, knowledge; school	子 39.5	8	1	1273	66
如	rú	if, supposing; as if; like, as	女 38.3	6	3	578	67
都	dōu	metropolis, capital; all, the whole; elegant, refined	邑 163.9	10	1	1801	68
同	tóng	same, similar; together with	口 30.3	6	1	427	69
现	xiàn	appear, manifest, become visible	玉 96.4	8	1	949	70
当	dāng	bear, accept, undertake; just	小 42.3	6	3	418	71
没	méi	not, have not, none; drown, sink	水 85.4	7	1	867	72
动	dòng	move, happen; movement, action	力 19.4	6	2	353	73
面	miàn	face; surface; plane; side, dimension	面 176.0	9	1	1455	74
起	qǐ	rise, stand up; go up; begin	走 156.3	10	1	1789	75
看	kàn	look, see; examine, scrutinize	目 109.4	9	1	1539	76
定	dìng	decide, settle, fix	宀 40.5	8	3	1276	77
天	tiān	sky, heaven; god, celestial	大 37.1	4	1	78	78
分	fēn	divide; small unit of time etc.	刀 18.2	4	1	146	79
还	hái	still, yet, also, besides	辵 162.4	7	2	704	80
进	jìn	advance, make progress, enter	辵 162.4	7	2	605	81
好	hǎo	good, excellent, fine; well	女 38.3	6	1	581	82
小	xiǎo	small, tiny, insignificant	小 42.0	3	1	37	83
部	bù	part, division, section	邑 163.8	10	4	2044	84
其	qí	his, her, its, their; that	八 12.6	8	3	996	85
些	xiē	little, few; rather, somewhat	二 7.5	8	1	1069	86
主	zhǔ	master, chief owner; host; lord	丶 3.4	5	3	300	87
样	yàng	shape, form, pattern, style	木 75.6	10	1	1849	88
理	lǐ	reason, logic; manage	玉 96.7	11	3	2157	89
心	xīn	heart; mind, intelligence; soul	心 61.0	4	3	174	90
她	tā	she, her	女 38.3	6	1	582	91
本	běn	root, origin, source; basis	木 75.1	5	1	210	92
前	qián	in front, forward; preceding	刀 18.7	9	1	1650	93
开	kāi	open; initiate, begin, start	廾 55.1	4	1	76	94
但	dàn	only; but, however, yet, still	人 9.5	7	2	774	95
因	yīn	cause, reason; by; because (of)	囗 31.3	6	2	430	96
只	zhǐ	only, just, simply	口 30.2	5	3	246	97
从	cóng	from, by, since, whence, through	人 9.2	4	2	142	98
想	xiǎng	think, speculate, plan, consider	心 61.9	13	1	2867	99
实	shí	real, true; honest, sincere	宀 40.5	8	3	1285	100
日	rì	sun; day; daytime	日 72.0	4	2	112	101
军	jūn	army, military; soldiers, troops	車 159.2	6	5	552	102
者	zhě	that which; he who; those who	老 125.4	8	3	969	103
意	yì	thought, idea, opinion; think	心 61.9	13	2	2996	104
无	wú	negative, no, not; KangXi radical 71	无 71.0	4	4	81	105
力	lì	power, capability, influence	力 19.0	2	3	19	106
它	tā	it; other	宀 40.2	5	2	314	107
与	yǔ	and; with; to; for; give, grant	一 1.3	3	4	34	108
长	zhǎng	long; length; excel in; leader	長 168.0	4	2	127	109
把	bǎ	hold, take; guard; regard as	手 64.4	7	3	655	110
机	jī	desk; machine; moment	木 75.2	6	1	377	111
十	shí	ten, tenth; complete; perfect	十 24.0	2	1	4	112
民	mín	people, subjects, citizens	氏 83.1	5	4	327	113
第	dì	sequence, number; grade, degree	竹 118.5	11	2	2322	114
公	gōng	fair, equitable; public; duke	八 12.2	4	2	148	115
此	cǐ	this, these; in this case, then	止 77.2	6	4	411	116
已	yǐ	already; finished; stop	己 49.0	3	2	61	117
工	gōng	labor, work; worker, laborer	工 48.0	3	1	26	118
使	shǐ	cause, send on a mission, order; envoy, messenger, ambassador	人 9.6	8	4	1139	119
情	qíng	feeling, sentiment, emotion	心 61.8	11	2	2438	120
明	míng	bright, light, brilliant; clear	日 72.4	8	1	1087	121
性	xìng	nature, character, sex	心 61.5	8	4	1268	122
知	zhī	know, perceive, comprehend	矢 111.3	8	2	1122	123
全	quán	maintain, keep whole or intact	入 11.4	6	4	485	124
三	sān	three	一 1.2	3	1	22	125
又	yòu	and, also, again, in addition	又 29.0	2	3	21	126
关	guān	frontier pass; close; relation	八 12.4	6	1	532	127
点	diǎn	dot, speck, spot; point, degree	火 86.5	9	1	1469	128
正	zhèng	right, proper, correct	止 77.1	5	2	198	129
业	yè	profession, business; GB radical 111	一 1.4	5	3	231	130
外	wài	out, outside, external; foreign	夕 36.2	5	2	293	131
将	jiāng	will, going to, future; general	爿 90.6	9	4	1617	132
两	liǎng	two, both, pair, couple; ounce	一 1.6	7	2	697	133
高	gāo	high, tall; lofty, elevated	高 189.0	10	1	2021	134
间	jiān	midpoint, space; place, locality	門 169.4	7	2	847	135
由	yóu	cause, reason; from	田 102.0	5	4	245	136
问	wèn	ask about, inquire after	門 169.3	6	2	528	137
很	hěn	very, quite, much	彳 60.6	9	1	1584	138
最	zuì	most, extremely, exceedingly	曰 73.8	12	2	2614	139
重	zhòng	heavy, weighty; double	里 166.2	9	3	1552	140
并	bìng		干 51.5	6	4	531	141
物	wù	thing, substance, creature	牛 93.4	8	3	1127	142
手	shǒu	hand	手 64.0	4	2	121	143
应	yīng	should, ought to, must	广 53.4	7	3	836	144
战	zhàn	war, fighting, battle	戈 62.5	9	5	1468	145
向	xiàng	toward, direction, trend	口 30.3	6	3	480	146
头	tóu	head; top; chief, first; boss	大 37.2	5	3	310	147
文	wén	literature, culture, writing	文 67.0	4	3	161	148
体	tǐ	body; group, class, body, unit; inferior	人 9.5	7	2	770	149
政	zhèng	government, political affairs	攴 66.4	9	5	1376	150
美	měi	beautiful, pretty; pleasing	羊 123.3	9	4	1642	151
相	xiāng	mutual, reciprocal, each other	目 109.4	9	3	1430	152
见	jiàn	see, observe, behold; perceive	見 147.0	4	1	118	153
